person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
219505;0;1221539.4723321942;6188970.423125026;1223859.4058912727;6188359.445324056;49968.0;543.0;0.0;4615.106711142179;car_passenger;home;other;false;2399.038472350264
141506;2;1224431.6946783888;6074360.921227377;1224570.581759402;6075488.889256449;50159.0;354.0;1430.0669274424686;1430.0669274424686;car;home;work;false;1136.4864697312116
128990;2;1176509.8315640292;6109966.263116628;1176086.5317371215;6108446.373120733;50165.0;350.0;2135.125563006009;2135.125563006009;car;home;work;false;1577.7351942207465
63611;2;1225661.570731523;6082108.06841045;1224278.5298903692;6075258.064479375;49621.0;896.0;8002.523060168815;8002.523060168815;car;home;work;false;6988.229806183698
81654;2;1177862.5339555214;6110716.310389325;1176414.6619154538;6108252.040661266;50084.0;437.0;3963.1719123325393;3963.1719123325393;car;home;work;false;2858.13903388851
195305;2;1186844.7404795068;6188533.132111143;1187288.9197036533;6188619.597054176;50243.0;278.0;1112.7999355390364;1112.7999355390364;car;home;work;false;452.51670636238777
54421;0;1232095.7322349763;6105228.928638797;1232250.6664613523;6099621.889209103;50154.0;374.0;5636.521152363049;5636.521152363049;car;home;shop;false;5609.17959960729
291577;5;1228468.2416530983;6200355.4783969065;1228057.9634223692;6199746.11125135;49690.0;844.0;0.0;1638.551319585596;SharedBike;leisure;work;false;734.61319392888
129939;2;1175180.1312554977;6107115.812520327;1176576.6003635156;6108963.325253836;50161.0;387.0;2924.518408556432;2924.518408556432;car;home;work;false;2315.907871683474
97725;0;1178519.662945352;6109179.89467378;1183353.3114370015;6109126.549488229;50076.0;476.0;0.0;7645.478937154821;car_passenger;home;other;false;4833.942847163814
295103;5;1226892.4629437083;6199530.735311776;1228681.9578875457;6199942.828222234;49754.0;804.0;4920.88937959049;4920.88937959049;car;leisure;work;false;1836.331321104359
